product,price,weight,maker,description,img_src
Maruchan Seimen Yakisoba Noodles,£11.49,"550g , 5 packs",Maruchan,5 saucy servings of irresistible yakisoba noodles.,https://cdn.media.amplience.net/i/japancentre/18333-1-Maruchan-Seimen-Yakisoba-Noodles?w=569&h=569&sm=c&fmt=auto
Nong Shim Kimchi Ramyun Noodle Soup,£1.39,75g,Nong Shim,Experience the bracing crispness of kimchi-topped ramen.,https://cdn.media.amplience.net/i/japancentre/16420-1-Nong-Shim-Kimchi-Ramyun-Noodle-Soup?w=569&h=569&sm=c&fmt=auto
Nissin Raoh Miso Ramen,£10.99,"495g , 5 packs",Nissin Foods,"Instant noodles that are so good, you could serve them to a king! This pack contains five packets of thick, straight-style non-fried instant ramen noodles, each with a large sachet of umami rich liquid miso seasoning. To complete the picture, all you need are fresh garnishes of pork bites, half a boiled egg, and spring onions. Enjoy as a warming snack or as part of a larger meal, theramen noodlesare your best choice.",https://cdn.media.amplience.net/i/japancentre/6412-1-Nissin-Raoh-Miso-Ramen?w=569&h=569&sm=c&fmt=auto
Maruchan Seimen Tonkotsu Pork Stock Ramen,£11.49,"445g , 5 packs",Maruchan,"5 servings of tonkotsu flavour ramen noodles with traditional, creamy tonkotsu pork stock soup with a touch of garlic. Using Maruchan’s special drying techinque, these noodles have a delicious flavour just like fresh noodles, but are much more convenient for keeping in a backpack or cupboard for quick and tasty meals! Easily enjoy the tastyramen noodlesin a few minutes.",https://cdn.media.amplience.net/i/japancentre/4715-1-Maruchan-Seimen-Tonkotsu-Pork-Stock-Ramen?w=569&h=569&sm=c&fmt=auto
Maruchan Seimen Soy Sauce Ramen,£11.49,"525g , 5 packs",Maruchan,"5 servings of soy sauce flavour ramen noodles with a chicken and pork stock based soup, made with rich soy sauce and a delicious garlic and ginger taste. Using Maruchan’s special drying techinque, these noodles have a delicious flavour just like fresh noodles, but are much more convenient for keeping in a backpack or cupboard for quick and tasty meals! Easily enjoy the tastyramen noodlesin a few minutes.",https://cdn.media.amplience.net/i/japancentre/4714-1-Maruchan-Seimen-Soy-Sauce-Ramen?w=569&h=569&sm=c&fmt=auto
Myojo Charumera Salt Ramen,£8.99,"425g , 5 packs",Myojo,"The noodles' flavour has been intensified, highlighting the umami of scallops combined with a chicken bone broth for a rich and smooth salt-based soup.",https://cdn.media.amplience.net/i/japancentre/19984-1-myojo-charumera-salt-ramen?w=569&h=569&sm=c&fmt=auto
Garak Kimchi Udon Noodles Bowl,£3.20,213g,GARAK,"Delight in a rich, spicy noodle bowl featuring kimchi and udon. The thick, chewy noodles are paired with a tangy, fermented kimchi flavour, offering a satisfying combination of heat and umami. Perfect for a quick, bold meal, this dish delivers authentic Korean taste in minutes. Ideal for those craving a comforting yet spicy noodle experience.",https://cdn.media.amplience.net/i/japancentre/19818-1-garak-pre---cooked-kimchi-udon-noodles?w=250&h=250&sm=c&fmt=auto
Nissin Donbei Instant Curry Udon,£4.49,86g,Nissin Foods,"Create creamy, meaty curry udon at home with ease.",https://cdn.media.amplience.net/i/japancentre/18364-1-Donbe-Curry-Udon-Noodles?w=569&h=569&sm=c&fmt=auto
Maruchan Midorino Tanuki Soba With Tempura,£4.99,98g,Maruchan,A traditional soba noodle dish served up within minutes.,https://cdn.media.amplience.net/i/japancentre/16063-1-maruchan-midorino-tanuki-soba-with-tempura?w=569&h=569&sm=c&fmt=auto
Itsuki Kumamoto Style Red Hot Spicy Ramen (Akakara),£2.20,"103g , 1 serving",Itsuki,Ramen noodles that turn up the heat.,https://cdn.media.amplience.net/i/japancentre/14184-1-Itsuki-Kumamoto-Style-Red-Hot-Spicy-Ramen?w=569&h=569&sm=c&fmt=auto
Sanyo Foods Pokemon Soy Sauce Ramen,£3.20,38g,Sanyo,For the Pokemon fan.,https://cdn.media.amplience.net/i/japancentre/12765-1-Sanyo-Foods-Pokemon-Soy-Sauce-Ramen?w=569&h=569&sm=c&fmt=auto
Myojo Hyobanya Kasanedashi Shoyu Ramen,£8.99,"430g , 5 packs",Myojo,"This soy sauce ramen delivers exceptional taste by layering the umami of chicken, bonito, and vegetable dashi, creating a flavorful and satisfying soup.",https://cdn.media.amplience.net/i/japancentre/19985-1-myojo-hyobanya-kasanedashi-shoyu-ramen?w=569&h=569&sm=c&fmt=auto
Daikoku Foods Miso Ramen,£5.35,"405g , 5 packs",Daikoku Foods,"Enjoy the richly satisfying taste of miso every day this week! This value pack contains five single-serve packets of instant ramen, each with their own sachet of miso flavoured soup seasoning. To give the seasoning extra flavour, umami-rich ingredients such as pork stock and fish sauce have also been added. There is no finer way to recharge atramen noodles!",https://cdn.media.amplience.net/i/japancentre/6507-1-Daikoku-Foods-Miso-Ramen?w=569&h=569&sm=c&fmt=auto
Maruchan Chicken Stock Salt Ramen,£4.20,87g,Maruchan,"Theramen noodleswith so much umami flavour, all in just 4 minutes.",https://cdn.media.amplience.net/i/japancentre/6408-1-maruchan-chicken-stock-salt-ramen?w=569&h=569&sm=c&fmt=auto
"Maruchan Midorino Tanuki Soba with Tempura, Large",£5.20,146g,Maruchan,Authentic Japanesesoba noodlesin minutes.,"https://cdn.media.amplience.net/i/japancentre/635-1-Maruchan-Midorino-Tanuki-Soba-with-Tempura,-Large?w=569&h=569&sm=c&fmt=auto"
Maruchan Midorino Tanuki Soba With Tempura,£3.99,99g,Maruchan,Low on time but big on authentic flavour? Get a little taste of real Japan with these 3 minute buckwheat soba noodles with rich soy sauce soup and prawn and green laver tempura.,https://cdn.media.amplience.net/i/japancentre/634-1-maruchan-midorino-tanuki-soba-with-tempura?w=569&h=569&sm=c&fmt=auto
Maruchan Chikara Udon with Mochi Rice Cake,£3.99,109g,Maruchan,"Unleash your power in just five minutes! One of the most popularudon noodlevarieties, chikara udon, or ‘power’ udon, refers to udon that is topped with glutinous rice cakes. Let the mochi melt in the hot soup, and chew thoroughly before swallowing! These udon noodles are perfect for a light lunch or afternoon snack.",https://cdn.media.amplience.net/i/japancentre/6108-1-Maruchan-Chikara-Udon-with-mochi-rice-cake?w=569&h=569&sm=c&fmt=auto
"Maruchan Akai Kitsune Udon with Fried Tofu, Small",£2.89,41g,Maruchan,"The Japanese have come up with pot noodles that will put your local supermarket to shame! Try this 3 minuteudon noodlewith a soy sauce soup and added seasoned fried soy bean curd, spring onion and red pepper. This one comes in a smaller size, perfect for enjoying with a sandwich or as part of a bento.","https://cdn.media.amplience.net/i/japancentre/5428-1-maruchan-akai-kitsune-udon-with-fried-tofu,-small?w=569&h=569&sm=c&fmt=auto"
Maruchan Seimen Miso Ramen,£11.49,"540g , 5 packs",Maruchan,"5 servings of miso flavour ramen noodles with a flavour pork stock based soup, made with a well balanced blend of red and white miso and just a hint of ginger. Using Maruchan’s special drying techinque, these noodles have a delicious flavour just like fresh noodles, but are much more convenient for keeping in a backpack or cupboard for quick and tasty meals! Easily enjoy the tastyramen noodlesin a few minutes.",https://cdn.media.amplience.net/i/japancentre/4713-1-Maruchan-Seimen-Miso-Ramen?w=569&h=569&sm=c&fmt=auto
Maruchan Non-Fried Mixed Miso Ramen,£4.20,104g,Maruchan,Heartily warming and a cinch to make.,https://cdn.media.amplience.net/i/japancentre/4468-1-maruchan-non-fried-mixed-miso-ramen?w=569&h=569&sm=c&fmt=auto
Nong Shim Cham Pong Ramen,£1.29,124g,Nong Shim,"Test the strength of your tastebuds against the fiery king of fusion cuisine. With the winning combo of Chinese style ramyun noodles and Korean style spicy seafood broth, you get the best of both worlds with this Cham Pong noodle soup. Try this instant version with seafood, spring onion, seaweed, sesame and garlic. Easily enjoy the tastyramen noodlesin a few minutes. English, French and German cooking instructions on the reverse of the packet. Made in Korea.",https://cdn.media.amplience.net/i/japancentre/2773-1-Nong-Shim-Neoguri-Seafood-and-spicy-ramen?w=250&h=250&sm=c&fmt=auto
Garak Hot Chicken Udon Noodles Bowl,£3.20,215g,GARAK,"Enjoy a spicy, savoury meal with these hot chicken udon noodles, perfect for a quick, flavour-packed meal. The thick, chewy udon noodles absorb the intense Korean-inspired spice, offering a satisfying and hearty option for fans of bold flavours. Ready in minutes, this meal combines authentic taste with convenience.",https://cdn.media.amplience.net/i/japancentre/19822-1-garak-stir-fried-hot-chicken-ramen?w=250&h=250&sm=c&fmt=auto
Garak Carbo Hot Chicken Udon Noodles Bowl,£3.20,230g,GARAK,"Savour a spicy udon noodle dish with a bold, cheesy flavour. These noodles come with a rich, spicy sauce, offering a satisfying combination of heat and creaminess. Quick to prepare, this convenient bowl provides a delicious meal perfect for those who love a kick with their comfort food.",https://cdn.media.amplience.net/i/japancentre/19818-1-garak-pre---cooked-kimchi-udon-noodles?w=250&h=250&sm=c&fmt=auto
Maruchan Seimen Tonkotsu Soy Sauce Ramen,£11.49,"505g , 5 packs",Maruchan,5 succulent servings of soy sauce enriched tonkotsu pork ramen.,https://cdn.media.amplience.net/i/japancentre/18338-1-Maruchan-Seimen-Tonkotsu-Shoyu-Noodles?w=569&h=569&sm=c&fmt=auto
Maruchan Menzukuri Rich Tonkotsu Ramen,£4.20,87g,Maruchan,A bowl of umami-rich tonkotsu ramen.,https://cdn.media.amplience.net/i/japancentre/18337-1-Maruchan-Menzukuri-Rich-Tonkotsu-Ramen?w=569&h=569&sm=c&fmt=auto
Nong Shim Chapaghetti Instant Black Spaghetti,£1.25,140g,Nong Shim,A heartier kind of instant noodle.,https://cdn.media.amplience.net/i/japancentre/10939-1-Nong-Shim-Chapaghetti-Instant-Black-Spaghetti?w=569&h=569&sm=c&fmt=auto
Nissin Raoh Instant Tonkotsu Soy Sauce Ramen,£6.99,"300g , 3 packs",Nissin Foods,,https://cdn.media.amplience.net/i/japancentre/19980-1-nissin-raoh-instant-tonkotsu-soy-sauce-ramen (1)?w=569&h=569&sm=c&fmt=auto
Yamamoto Seifun Tanuki Oyaji no Ippin Tonkotsu Style Spicy Ramen Noodles,£8.49,"450g , 5 servings",Yamamoto Seifun,,https://cdn.media.amplience.net/i/japancentre/19610-1-yamamoto-seifun-tanuki-oyaji-no-ippin-tonkotsu-style-spicy-ramen-noodles?w=569&h=569&sm=c&fmt=auto
Yamamoto Seifun Ponpoko Yakisoba Stir Fry Noodles,£7.49,"534g , 6 servings",Yamamoto Seifun,,https://cdn.media.amplience.net/i/japancentre/19615-1-yamamoto-seifun-ponpoko-yakisoba-stir-fry-noodles?w=569&h=569&sm=c&fmt=auto
Garak Instant Kimchi Ramen (Multipack),£6.99,"600g , 5 packs",GARAK,,https://cdn.media.amplience.net/i/japancentre/19480-1-garak-instant-kimchi-ramen?w=569&h=569&sm=c&fmt=auto
Young Poong Yopokki Cheese Topokki Rice Cakes,£2.49,120g,Young Poong Foods,,https://cdn.media.amplience.net/i/japancentre/19475-1-young-poong-yopokki-cheese-topokki-rice-cakes?w=569&h=569&sm=c&fmt=auto
Yamamoto Seifun Tanuki Oyaji no Ippin Yakisoba Stir Fry Noodles,£9.99,"435g , 5 servings",Yamamoto Seifun,,https://cdn.media.amplience.net/i/japancentre/19617-1-yamamoto-seifun-tanuki-oyaji-no-ippin-yakisoba-stir-fry-noodles?w=569&h=569&sm=c&fmt=auto
Garak Instant Seafood Ramen,£6.99,"600g , 5 packs",GARAK,,https://cdn.media.amplience.net/i/japancentre/19481-1-garak-instant-seafood-ramen?w=569&h=569&sm=c&fmt=auto
